3
60
1.0,0.990000,0.50000,0.99
1.0,0.00000,0.50000,-0.99
1.0,0.98568,0.60466,0.99
1.0,0.01432,0.39534,-0.99
1.0,0.95306,0.70330,0.99
1.0,0.04694,0.29670,-0.99
1.0,0.90374,0.79225,0.99
1.0,0.09626,0.20775,-0.99
1.0,0.83995,0.86829,0.99
1.0,0.16005,0.13171,-0.99
1.0,0.76443,0.92873,0.99
1.0,0.23557,0.07127,-0.99
1.0,0.68030,0.97156,0.99
1.0,0.31970,0.02844,-0.99
1.0,0.59098,0.99550,0.99
1.0,0.40902,0.00450,-0.99
1.0,0.50000,0.990000,0.99
1.0,0.50000,0.00000,-0.99
1.0,0.41089,0.98528,0.99
1.0,0.58911,0.01472,-0.99
1.0,0.32705,0.95232,0.99
1.0,0.67295,0.04768,-0.99
1.0,0.25159,0.90274,0.99
1.0,0.74841,0.09726,-0.99
1.0,0.18724,0.83882,0.99
1.0,0.81276,0.16118,-0.99
1.0,0.13623,0.76331,0.99
1.0,0.86377,0.23669,-0.99
1.0,0.10024,0.67938,0.99
1.0,0.89976,0.32062,-0.99
1.0,0.08034,0.59043,0.99
1.0,0.91966,0.40957,-0.99
1.0,0.07692,0.50000,0.99
1.0,0.92308,0.50000,-0.99
1.0,0.08977,0.41160,0.99
1.0,0.91023,0.58840,-0.99
1.0,0.11801,0.32859,0.99
1.0,0.88199,0.67141,-0.99
1.0,0.16022,0.25404,0.99
1.0,0.83978,0.74596,-0.99
1.0,0.21444,0.19064,0.99
1.0,0.78556,0.80936,-0.99
1.0,0.27831,0.14056,0.99
1.0,0.72169,0.85944,-0.99
1.0,0.34914,0.10542,0.99
1.0,0.65086,0.89458,-0.99
1.0,0.42403,0.08623,0.99
1.0,0.57597,0.91377,-0.99
1.0,0.50000,0.08333,0.99
1.0,0.50000,0.91667,-0.99
1.0,0.57410,0.09645,0.99
1.0,0.42590,0.90355,-0.99
1.0,0.64351,0.12468,0.99
1.0,0.35649,0.87532,-0.99
1.0,0.70567,0.16655,0.99
1.0,0.29433,0.83345,-0.99
1.0,0.75837,0.22011,0.99
1.0,0.24163,0.77989,-0.99
1.0,0.79981,0.28298,0.99
1.0,0.20019,0.71702,-0.99
1.0,0.82869,0.35251,0.99
1.0,0.17131,0.64749,-0.99
1.0,0.84422,0.42583,0.99
1.0,0.15578,0.57417,-0.99
1.0,0.84615,0.50001,0.99
1.0,0.15385,0.49999,-0.99
1.0,0.83479,0.57215,0.99
1.0,0.16521,0.42785,-0.99
1.0,0.81092,0.63953,0.99
1.0,0.18908,0.36047,-0.99
1.0,0.77582,0.69966,0.99
1.0,0.22418,0.30034,-0.99
1.0,0.73117,0.75044,0.99
1.0,0.26883,0.24956,-0.99
1.0,0.67895,0.79015,0.99
1.0,0.32105,0.20985,-0.99
1.0,0.62142,0.81759,0.99
1.0,0.37858,0.18241,-0.99
1.0,0.56096,0.83204,0.99
1.0,0.43904,0.16796,-0.99
1.0,0.49999,0.83333,0.99
1.0,0.50001,0.16667,-0.99
1.0,0.44090,0.82182,0.99
1.0,0.55910,0.17818,-0.99
1.0,0.38593,0.79833,0.99
1.0,0.61407,0.20167,-0.99
1.0,0.33706,0.76416,0.99
1.0,0.66294,0.23584,-0.99
1.0,0.29602,0.72097,0.99
1.0,0.70398,0.27903,-0.99
1.0,0.26415,0.67072,0.99
1.0,0.73585,0.32928,-0.99
1.0,0.24238,0.61560,0.99
1.0,0.75762,0.38440,-0.99
1.0,0.23123,0.55791,0.99
1.0,0.76877,0.44209,-0.99
1.0,0.23077,0.49999,0.99
1.0,0.76923,0.50001,-0.99
